SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
29.54,14.00,978.93,26.63,1000.000000,1000.000000,0.00,975,87,115,,
29.57,14.00,978.99,26.63,1000.000000,1000.000000,0.00,7362,1060,115,,
29.56,14.00,978.92,26.63,1000.000000,1000.000000,0.00,7362,1060,115,,
29.58,14.00,978.94,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
29.60,14.00,978.97,26.63,1000.000000,1000.000000,0.00,1865,223,115,,
29.59,14.00,978.95,26.63,1000.000000,1000.000000,0.00,1865,223,115,,
29.61,13.00,978.95,27.36,1000.000000,1000.000000,0.00,728,49,115,,
29.61,13.00,978.96,27.36,1000.000000,1000.000000,0.00,574,26,115,,
29.61,13.00,978.94,27.36,1000.000000,1000.000000,0.00,1339,143,115,,
29.62,13.00,978.96,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.63,13.00,978.92,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.64,13.00,978.97,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.62,13.00,978.94,27.36,1000.000000,1000.000000,0.00,1501,167,115,,
29.64,13.00,978.98,27.36,1000.000000,1000.000000,0.00,2984,393,115,,
29.64,13.00,978.92,27.36,1000.000000,1000.000000,0.00,2984,393,115,,
29.64,13.00,978.99,27.36,1000.000000,1000.000000,0.00,1145,113,115,,
29.65,13.00,978.97,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.66,13.00,978.95,27.36,1000.000000,1000.000000,0.00,2340,295,115,,
29.67,13.00,978.95,27.36,1000.000000,1000.000000,0.00,1453,160,115,,
29.66,13.00,978.99,27.36,1000.000000,1000.000000,0.00,1453,160,115,,
29.68,13.00,978.94,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.68,13.00,978.92,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.72,13.00,978.99,27.36,1000.000000,1000.000000,0.00,5040,706,115,,
29.71,13.00,978.94,27.36,1000.000000,1000.000000,0.00,5040,706,115,,
29.72,13.00,978.91,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.74,13.00,978.98,27.36,1000.000000,1000.000000,0.00,4079,560,115,,
29.74,13.00,978.92,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.76,13.00,978.98,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.77,13.00,978.95,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.76,13.00,978.86,27.36,1000.000000,1000.000000,0.00,2905,381,115,,
29.77,13.00,978.87,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.78,13.00,978.94,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.80,13.00,978.93,27.36,1000.000000,1000.000000,0.00,2452,312,115,,
29.80,13.00,978.95,27.36,1000.000000,1000.000000,0.00,3926,537,115,,
29.79,13.00,978.91,27.36,1000.000000,1000.000000,0.00,1931,233,115,,
29.80,13.00,978.95,27.36,1000.000000,1000.000000,0.00,1931,233,115,,
29.78,13.00,978.93,27.36,1000.000000,1000.000000,0.00,2562,329,115,,
29.78,13.00,978.94,27.36,1000.000000,1000.000000,0.00,1127,110,115,,
29.78,13.00,978.94,27.36,1000.000000,1000.000000,0.00,1345,143,115,,
29.78,13.00,978.93,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.79,13.00,978.97,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.80,13.00,978.92,27.36,1000.000000,1000.000000,0.00,2353,297,115,,
29.82,13.00,978.95,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.82,13.00,978.97,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.83,13.00,978.94,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.84,13.00,978.97,27.36,1000.000000,1000.000000,0.00,3252,434,115,,
29.83,13.00,978.89,27.36,1000.000000,1000.000000,0.00,3397,456,115,,
29.83,13.00,978.90,27.36,1000.000000,1000.000000,0.00,2401,304,115,,
29.84,13.00,978.94,27.36,1000.000000,1000.000000,0.00,1880,225,115,,
29.83,13.00,978.97,27.36,1000.000000,1000.000000,0.00,1880,225,115,,
29.83,13.00,978.91,27.36,1000.000000,1000.000000,0.00,750,53,115,,
29.83,13.00,978.95,27.36,1000.000000,1000.000000,0.00,4940,691,115,,
29.83,13.00,978.95,27.36,1000.000000,1000.000000,0.00,4940,691,115,,
29.84,13.00,978.98,27.36,1000.000000,1000.000000,0.00,1644,189,115,,
29.84,13.00,978.93,27.36,1000.000000,1000.000000,0.00,2353,297,115,,
29.87,13.00,978.96,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.86,13.00,978.90,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.87,13.00,978.89,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.89,13.00,978.93,27.36,1000.000000,1000.000000,0.00,7992,1156,115,,
29.89,13.00,978.92,27.36,1000.000000,1000.000000,0.00,1738,203,115,,
29.89,13.00,978.92,27.36,1000.000000,1000.000000,0.00,1359,146,115,,
29.92,13.00,978.95,27.36,1000.000000,1000.000000,0.00,1359,146,115,,
29.93,13.00,978.94,27.36,1000.000000,1000.000000,0.00,6510,930,116,,
29.93,13.00,978.98,27.36,1000.000000,1000.000000,0.00,4940,691,115,,
29.95,13.00,978.99,27.36,1000.000000,1000.000000,0.00,1163,116,115,,
29.94,13.00,978.94,27.36,1000.000000,1000.000000,0.00,1163,116,115,,
29.93,13.00,978.94,27.36,1000.000000,1000.000000,0.00,783,58,116,,
29.94,13.00,978.92,27.36,1000.000000,1000.000000,0.00,646,37,116,,
29.96,13.00,978.91,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
29.96,13.00,978.88,27.36,1000.000000,1000.000000,0.00,4725,658,116,,
29.97,13.00,978.91,27.36,1000.000000,1000.000000,0.00,4725,658,116,,
29.97,13.00,978.83,27.36,1000.000000,1000.000000,0.00,2984,393,116,,
29.99,13.00,978.92,27.36,1000.000000,1000.000000,0.00,1083,104,116,,
30.00,13.00,978.93,27.36,1000.000000,1000.000000,0.00,877,72,116,,
30.00,13.00,978.86,27.36,1000.000000,1000.000000,0.00,877,72,116,,
30.02,13.00,978.92,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.03,13.00,978.88,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.03,13.00,978.87,27.36,1000.000000,1000.000000,0.00,7946,1149,116,,
30.05,13.00,978.91,27.36,1000.000000,1000.000000,0.00,7946,1149,116,,
30.06,13.00,978.93,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.08,13.00,978.94,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.09,13.00,978.97,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.09,13.00,978.91,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.10,13.00,978.93,27.36,1000.000000,1000.000000,0.00,1827,217,116,,
30.12,13.00,978.95,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.13,13.00,978.99,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
30.13,13.00,978.96,27.36,1000.000000,1000.000000,0.00,7992,1156,116,,
